,fold_change,-log10(fdr_BH),Gene
26,6.9490873862454015,8.448505538078553,LGALS9
95,3.65593520363881,10.102983811714898,IFIT3
148,2.218784789728223,5.626350844456654,TAPBP
273,3.1801930528748414,2.9640239735612424,SEMA7A
399,11.989171179208848,6.187624133598394,DDX58
439,5.891707880865223,7.3262313453838495,OAS1
445,12.113839470493678,8.490385330687028,HLA-A
499,2.538827079826449,6.59850034795316,ISG15
604,13.276179904185376,8.540178709524001,IFIT2
605,16.97310774599212,10.267932268489949,IFIT1
678,5.825962027175203,7.799597701838876,F3
775,8.424198805803092,8.127768239979073,TYMP
787,46.797503768754304,10.267932268489949,MX1
788,24.532650528658234,8.500750189451171,MX2
791,4.581824193073761,5.303943634835609,ATP4A
839,2.209794698107696,7.386514562630724,SP100
865,5.146377116090878,8.478363645275266,CTSS
898,8.460541600782436,6.929585730848892,PSMB9
923,2.0706497147370846,6.539682231217222,PML
926,2.394166899133665,7.148096479585417,OAS2
1047,7.32477682829361,5.848905267191121,GMPR
1059,6.0552937206295665,6.247102701842785,LIPA
1089,4.046449588527051,7.079842027173332,UBA7
1148,7.330110595099402,7.109105731331998,STT3A
1276,2.4458297832665745,5.848905267191121,STAT2
1366,2.5191403369754592,4.982054317773509,NLRP6
1541,7.8142007850306365,6.18939063912914,IFI35
1590,5.577048929781366,7.600916286384712,IRF9
1602,12.756784496506551,7.884670799251206,IFITM2
1626,7.70599195515989,5.96695453705369,PLAUR
1685,13.679873643787841,8.019971862474135,BST2
1686,6.505404919789342,8.28443134726124,PMPCA
1743,7.401411227191993,7.321450460372373,NMI
1746,2.2385807129932513,3.8821987322081,IFIT5
1747,11.932050082373435,8.826188255755062,IFIT5
1812,8.203654937278145,6.256457526284666,CIRBP
2034,7.769097356471861,8.080589845306749,LGALS9B
2036,5.615316232060406,4.793666077605804,USP41
2044,2.470986123428224,4.621193877171463,PARP14
2074,9.670114356542204,7.738679620447435,CMPK2
2084,3.9208766970642825,7.089493955518674,SAMD9
2098,7.726619006582385,6.983937844013152,WLS
2111,3.4476833031423277,4.915810357590014,RNF213
2148,7.522342660536505,7.600916286384712,EDC4
2256,5.653231180563806,7.600916286384712,ZC3HC1
2279,3.4529031219442876,6.570923961002591,HERC6
2292,6.510871397291244,8.478363645275266,PARP9
2300,5.286194452423766,6.715099698035857,TRIM22
2322,8.215989202107423,7.123099469635186,ARHGAP18
2348,6.099412294156714,7.310703202894278,GOLM1
2404,8.345731335994424,7.079842027173332,DTX3L
2545,8.340717759087886,7.799597701838876,ISG20
2729,2.2746862177815026,6.14991891096338,APOL2
2802,4.479585390647334,7.1750644488251245,HELZ2
2957,4.385342462202106,7.238143777179807,PPAN
3327,16.196550820842926,8.658410009805536,SAMHD1
3364,4.26293571207785,4.982054317773509,TRPV2
3395,10.609625082021799,9.50372433709054,OAS3
